qa_id,cve_id,question_type,question_ko,gold_description,gold_severity,gold_cvss_score,gold_attack_vector,gold_attack_complexity,gold_privileges_required,gold_user_interaction,gold_cwe_ids,gold_affected_products,gold_references,is_kev,gold_evidence_source,stress_type,expected_answerable
CVE-2017-9264-HELDOUT-Q1,CVE-2017-9264,vulnerability_summary,CVE-2017-9264는 어떤 취약점인가?,"In lib/conntrack.c in the firewall implementation in Open vSwitch (OvS) 2.6.1, there is a buffer over-read while parsing malformed TCP, UDP, and IPv6 packets in the functions `extract_l3_ipv6`, `extract_l4_tcp`, and `extract_l4_udp` that can be triggered remotely.",CRITICAL,9.8,NETWORK,LOW,NONE,NONE,"[""CWE-125""]","[{""vendor"": ""openvswitch"", ""product"": ""openvswitch"", ""version"": ""2.6.1"", ""criteria"": ""cpe:2.3:a:openvswitch:openvswitch:2.6.1:*:*:*:*:*:*:*"", ""vulnerable"": true}]","[{""url"": ""https://access.redhat.com/errata/RHSA-2017:2418"", ""source"": ""cve@mitre.org"", ""tags"": []}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2648"", ""source"": ""cve@mitre.org"", ""tags"": []}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2727"", ""source"": ""cve@mitre.org"", ""tags"": []}, {""url"": ""https://mail.openvswitch.org/pipermail/ovs-dev/2017-March/329323.html"", ""source"": ""cve@mitre.org"", ""tags"": [""Mailing List"", ""Patch"", ""Vendor Advisory""]}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2418"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": []}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2648"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": []}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2727"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": []}, {""url"": ""https://mail.openvswitch.org/pipermail/ovs-dev/2017-March/329323.html"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Mailing List"", ""Patch"", ""Vendor Advisory""]}]",False,"[""nvd""]",heldout_real_cve,False
CVE-2017-9264-HELDOUT-Q2,CVE-2017-9264,affected_product,CVE-2017-9264의 영향을 받는 제품이나 버전은 무엇인가?,"In lib/conntrack.c in the firewall implementation in Open vSwitch (OvS) 2.6.1, there is a buffer over-read while parsing malformed TCP, UDP, and IPv6 packets in the functions `extract_l3_ipv6`, `extract_l4_tcp`, and `extract_l4_udp` that can be triggered remotely.",CRITICAL,9.8,NETWORK,LOW,NONE,NONE,"[""CWE-125""]","[{""vendor"": ""openvswitch"", ""product"": ""openvswitch"", ""version"": ""2.6.1"", ""criteria"": ""cpe:2.3:a:openvswitch:openvswitch:2.6.1:*:*:*:*:*:*:*"", ""vulnerable"": true}]","[{""url"": ""https://access.redhat.com/errata/RHSA-2017:2418"", ""source"": ""cve@mitre.org"", ""tags"": []}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2648"", ""source"": ""cve@mitre.org"", ""tags"": []}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2727"", ""source"": ""cve@mitre.org"", ""tags"": []}, {""url"": ""https://mail.openvswitch.org/pipermail/ovs-dev/2017-March/329323.html"", ""source"": ""cve@mitre.org"", ""tags"": [""Mailing List"", ""Patch"", ""Vendor Advisory""]}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2418"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": []}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2648"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": []}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2727"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": []}, {""url"": ""https://mail.openvswitch.org/pipermail/ovs-dev/2017-March/329323.html"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Mailing List"", ""Patch"", ""Vendor Advisory""]}]",False,"[""nvd""]",heldout_real_cve,False
CVE-2017-9264-HELDOUT-Q3,CVE-2017-9264,attack_condition,CVE-2017-9264는 원격 공격이 가능한가? 인증이나 사용자 상호작용이 필요한가?,"In lib/conntrack.c in the firewall implementation in Open vSwitch (OvS) 2.6.1, there is a buffer over-read while parsing malformed TCP, UDP, and IPv6 packets in the functions `extract_l3_ipv6`, `extract_l4_tcp`, and `extract_l4_udp` that can be triggered remotely.",CRITICAL,9.8,NETWORK,LOW,NONE,NONE,"[""CWE-125""]","[{""vendor"": ""openvswitch"", ""product"": ""openvswitch"", ""version"": ""2.6.1"", ""criteria"": ""cpe:2.3:a:openvswitch:openvswitch:2.6.1:*:*:*:*:*:*:*"", ""vulnerable"": true}]","[{""url"": ""https://access.redhat.com/errata/RHSA-2017:2418"", ""source"": ""cve@mitre.org"", ""tags"": []}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2648"", ""source"": ""cve@mitre.org"", ""tags"": []}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2727"", ""source"": ""cve@mitre.org"", ""tags"": []}, {""url"": ""https://mail.openvswitch.org/pipermail/ovs-dev/2017-March/329323.html"", ""source"": ""cve@mitre.org"", ""tags"": [""Mailing List"", ""Patch"", ""Vendor Advisory""]}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2418"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": []}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2648"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": []}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2727"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": []}, {""url"": ""https://mail.openvswitch.org/pipermail/ovs-dev/2017-March/329323.html"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Mailing List"", ""Patch"", ""Vendor Advisory""]}]",False,"[""nvd""]",heldout_real_cve,False
CVE-2017-9264-HELDOUT-Q4,CVE-2017-9264,severity_reason,CVE-2017-9264의 위험도가 CRITICAL로 평가되는 이유는 무엇인가?,"In lib/conntrack.c in the firewall implementation in Open vSwitch (OvS) 2.6.1, there is a buffer over-read while parsing malformed TCP, UDP, and IPv6 packets in the functions `extract_l3_ipv6`, `extract_l4_tcp`, and `extract_l4_udp` that can be triggered remotely.",CRITICAL,9.8,NETWORK,LOW,NONE,NONE,"[""CWE-125""]","[{""vendor"": ""openvswitch"", ""product"": ""openvswitch"", ""version"": ""2.6.1"", ""criteria"": ""cpe:2.3:a:openvswitch:openvswitch:2.6.1:*:*:*:*:*:*:*"", ""vulnerable"": true}]","[{""url"": ""https://access.redhat.com/errata/RHSA-2017:2418"", ""source"": ""cve@mitre.org"", ""tags"": []}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2648"", ""source"": ""cve@mitre.org"", ""tags"": []}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2727"", ""source"": ""cve@mitre.org"", ""tags"": []}, {""url"": ""https://mail.openvswitch.org/pipermail/ovs-dev/2017-March/329323.html"", ""source"": ""cve@mitre.org"", ""tags"": [""Mailing List"", ""Patch"", ""Vendor Advisory""]}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2418"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": []}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2648"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": []}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2727"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": []}, {""url"": ""https://mail.openvswitch.org/pipermail/ovs-dev/2017-March/329323.html"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Mailing List"", ""Patch"", ""Vendor Advisory""]}]",False,"[""nvd""]",heldout_real_cve,False
CVE-2017-9264-HELDOUT-Q5,CVE-2017-9264,mitigation,CVE-2017-9264에 대한 대응 방법이나 완화 방안은 무엇인가?,"In lib/conntrack.c in the firewall implementation in Open vSwitch (OvS) 2.6.1, there is a buffer over-read while parsing malformed TCP, UDP, and IPv6 packets in the functions `extract_l3_ipv6`, `extract_l4_tcp`, and `extract_l4_udp` that can be triggered remotely.",CRITICAL,9.8,NETWORK,LOW,NONE,NONE,"[""CWE-125""]","[{""vendor"": ""openvswitch"", ""product"": ""openvswitch"", ""version"": ""2.6.1"", ""criteria"": ""cpe:2.3:a:openvswitch:openvswitch:2.6.1:*:*:*:*:*:*:*"", ""vulnerable"": true}]","[{""url"": ""https://access.redhat.com/errata/RHSA-2017:2418"", ""source"": ""cve@mitre.org"", ""tags"": []}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2648"", ""source"": ""cve@mitre.org"", ""tags"": []}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2727"", ""source"": ""cve@mitre.org"", ""tags"": []}, {""url"": ""https://mail.openvswitch.org/pipermail/ovs-dev/2017-March/329323.html"", ""source"": ""cve@mitre.org"", ""tags"": [""Mailing List"", ""Patch"", ""Vendor Advisory""]}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2418"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": []}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2648"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": []}, {""url"": ""https://access.redhat.com/errata/RHSA-2017:2727"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": []}, {""url"": ""https://mail.openvswitch.org/pipermail/ovs-dev/2017-March/329323.html"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Mailing List"", ""Patch"", ""Vendor Advisory""]}]",False,"[""nvd""]",heldout_real_cve,False
CVE-2019-18465-HELDOUT-Q1,CVE-2019-18465,vulnerability_summary,CVE-2019-18465는 어떤 취약점인가?,"In Progress MOVEit Transfer 11.1 before 11.1.3, a vulnerability has been found that could allow an attacker to sign in without full credentials via the SSH (SFTP) interface. The vulnerability affects only certain SSH (SFTP) configurations, and is applicable only if the MySQL database is being used.",CRITICAL,9.8,NETWORK,LOW,NONE,NONE,"[""CWE-306""]","[{""vendor"": ""ipswitch"", ""product"": ""moveit_transfer"", ""version"": ""*"", ""criteria"": ""cpe:2.3:a:ipswitch:moveit_transfer:*:*:*:*:*:*:*:*"", ""vulnerable"": true, ""versionStartIncluding"": ""11.1"", ""versionEndExcluding"": ""11.1.3""}]","[{""url"": ""https://community.ipswitch.com/s/article/SFTP-Auth-Vulnerability"", ""source"": ""cve@mitre.org"", ""tags"": [""Third Party Advisory""]}, {""url"": ""https://docs.ipswitch.com/MOVEit/Transfer2019_1/ReleaseNotes/en/index.htm#49443.htm"", ""source"": ""cve@mitre.org"", ""tags"": [""Release Notes"", ""Third Party Advisory""]}, {""url"": ""https://community.ipswitch.com/s/article/SFTP-Auth-Vulnerability"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Third Party Advisory""]}, {""url"": ""https://docs.ipswitch.com/MOVEit/Transfer2019_1/ReleaseNotes/en/index.htm#49443.htm"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Release Notes"", ""Third Party Advisory""]}]",False,"[""nvd""]",heldout_real_cve,False
CVE-2019-18465-HELDOUT-Q2,CVE-2019-18465,affected_product,CVE-2019-18465의 영향을 받는 제품이나 버전은 무엇인가?,"In Progress MOVEit Transfer 11.1 before 11.1.3, a vulnerability has been found that could allow an attacker to sign in without full credentials via the SSH (SFTP) interface. The vulnerability affects only certain SSH (SFTP) configurations, and is applicable only if the MySQL database is being used.",CRITICAL,9.8,NETWORK,LOW,NONE,NONE,"[""CWE-306""]","[{""vendor"": ""ipswitch"", ""product"": ""moveit_transfer"", ""version"": ""*"", ""criteria"": ""cpe:2.3:a:ipswitch:moveit_transfer:*:*:*:*:*:*:*:*"", ""vulnerable"": true, ""versionStartIncluding"": ""11.1"", ""versionEndExcluding"": ""11.1.3""}]","[{""url"": ""https://community.ipswitch.com/s/article/SFTP-Auth-Vulnerability"", ""source"": ""cve@mitre.org"", ""tags"": [""Third Party Advisory""]}, {""url"": ""https://docs.ipswitch.com/MOVEit/Transfer2019_1/ReleaseNotes/en/index.htm#49443.htm"", ""source"": ""cve@mitre.org"", ""tags"": [""Release Notes"", ""Third Party Advisory""]}, {""url"": ""https://community.ipswitch.com/s/article/SFTP-Auth-Vulnerability"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Third Party Advisory""]}, {""url"": ""https://docs.ipswitch.com/MOVEit/Transfer2019_1/ReleaseNotes/en/index.htm#49443.htm"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Release Notes"", ""Third Party Advisory""]}]",False,"[""nvd""]",heldout_real_cve,False
CVE-2019-18465-HELDOUT-Q3,CVE-2019-18465,attack_condition,CVE-2019-18465는 원격 공격이 가능한가? 인증이나 사용자 상호작용이 필요한가?,"In Progress MOVEit Transfer 11.1 before 11.1.3, a vulnerability has been found that could allow an attacker to sign in without full credentials via the SSH (SFTP) interface. The vulnerability affects only certain SSH (SFTP) configurations, and is applicable only if the MySQL database is being used.",CRITICAL,9.8,NETWORK,LOW,NONE,NONE,"[""CWE-306""]","[{""vendor"": ""ipswitch"", ""product"": ""moveit_transfer"", ""version"": ""*"", ""criteria"": ""cpe:2.3:a:ipswitch:moveit_transfer:*:*:*:*:*:*:*:*"", ""vulnerable"": true, ""versionStartIncluding"": ""11.1"", ""versionEndExcluding"": ""11.1.3""}]","[{""url"": ""https://community.ipswitch.com/s/article/SFTP-Auth-Vulnerability"", ""source"": ""cve@mitre.org"", ""tags"": [""Third Party Advisory""]}, {""url"": ""https://docs.ipswitch.com/MOVEit/Transfer2019_1/ReleaseNotes/en/index.htm#49443.htm"", ""source"": ""cve@mitre.org"", ""tags"": [""Release Notes"", ""Third Party Advisory""]}, {""url"": ""https://community.ipswitch.com/s/article/SFTP-Auth-Vulnerability"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Third Party Advisory""]}, {""url"": ""https://docs.ipswitch.com/MOVEit/Transfer2019_1/ReleaseNotes/en/index.htm#49443.htm"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Release Notes"", ""Third Party Advisory""]}]",False,"[""nvd""]",heldout_real_cve,False
CVE-2019-18465-HELDOUT-Q4,CVE-2019-18465,severity_reason,CVE-2019-18465의 위험도가 CRITICAL로 평가되는 이유는 무엇인가?,"In Progress MOVEit Transfer 11.1 before 11.1.3, a vulnerability has been found that could allow an attacker to sign in without full credentials via the SSH (SFTP) interface. The vulnerability affects only certain SSH (SFTP) configurations, and is applicable only if the MySQL database is being used.",CRITICAL,9.8,NETWORK,LOW,NONE,NONE,"[""CWE-306""]","[{""vendor"": ""ipswitch"", ""product"": ""moveit_transfer"", ""version"": ""*"", ""criteria"": ""cpe:2.3:a:ipswitch:moveit_transfer:*:*:*:*:*:*:*:*"", ""vulnerable"": true, ""versionStartIncluding"": ""11.1"", ""versionEndExcluding"": ""11.1.3""}]","[{""url"": ""https://community.ipswitch.com/s/article/SFTP-Auth-Vulnerability"", ""source"": ""cve@mitre.org"", ""tags"": [""Third Party Advisory""]}, {""url"": ""https://docs.ipswitch.com/MOVEit/Transfer2019_1/ReleaseNotes/en/index.htm#49443.htm"", ""source"": ""cve@mitre.org"", ""tags"": [""Release Notes"", ""Third Party Advisory""]}, {""url"": ""https://community.ipswitch.com/s/article/SFTP-Auth-Vulnerability"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Third Party Advisory""]}, {""url"": ""https://docs.ipswitch.com/MOVEit/Transfer2019_1/ReleaseNotes/en/index.htm#49443.htm"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Release Notes"", ""Third Party Advisory""]}]",False,"[""nvd""]",heldout_real_cve,False
CVE-2019-18465-HELDOUT-Q5,CVE-2019-18465,mitigation,CVE-2019-18465에 대한 대응 방법이나 완화 방안은 무엇인가?,"In Progress MOVEit Transfer 11.1 before 11.1.3, a vulnerability has been found that could allow an attacker to sign in without full credentials via the SSH (SFTP) interface. The vulnerability affects only certain SSH (SFTP) configurations, and is applicable only if the MySQL database is being used.",CRITICAL,9.8,NETWORK,LOW,NONE,NONE,"[""CWE-306""]","[{""vendor"": ""ipswitch"", ""product"": ""moveit_transfer"", ""version"": ""*"", ""criteria"": ""cpe:2.3:a:ipswitch:moveit_transfer:*:*:*:*:*:*:*:*"", ""vulnerable"": true, ""versionStartIncluding"": ""11.1"", ""versionEndExcluding"": ""11.1.3""}]","[{""url"": ""https://community.ipswitch.com/s/article/SFTP-Auth-Vulnerability"", ""source"": ""cve@mitre.org"", ""tags"": [""Third Party Advisory""]}, {""url"": ""https://docs.ipswitch.com/MOVEit/Transfer2019_1/ReleaseNotes/en/index.htm#49443.htm"", ""source"": ""cve@mitre.org"", ""tags"": [""Release Notes"", ""Third Party Advisory""]}, {""url"": ""https://community.ipswitch.com/s/article/SFTP-Auth-Vulnerability"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Third Party Advisory""]}, {""url"": ""https://docs.ipswitch.com/MOVEit/Transfer2019_1/ReleaseNotes/en/index.htm#49443.htm"", ""source"": ""af854a3a-2127-422b-91ae-364da2661108"", ""tags"": [""Release Notes"", ""Third Party Advisory""]}]",False,"[""nvd""]",heldout_real_cve,False
