Query Type,Method,N,Answer Accuracy (0-2),Answer Accuracy (0-2) SD,Evidence Faithfulness (0-2),Evidence Faithfulness (0-2) SD,Citation Correctness (0-2),Citation Correctness (0-2) SD,"Hallucination (0-2, lower better)","Hallucination (0-2, lower better) SD",Completeness (0-2),Completeness (0-2) SD
mitigation,hybrid_reranker,10,1.700000,0.674949,1.600000,0.699206,1.700000,0.483046,0.400000,0.699206,1.900000,0.316228
attack_condition,hybrid_reranker,10,1.600000,0.699206,1.600000,0.699206,1.600000,0.699206,0.400000,0.699206,1.900000,0.316228
attack_condition,hybrid,10,1.700000,0.674949,1.700000,0.674949,1.700000,0.674949,0.300000,0.674949,1.800000,0.632456
vulnerability_summary,hybrid,10,1.900000,0.316228,1.900000,0.316228,1.900000,0.316228,0.100000,0.316228,1.900000,0.316228
severity_reason,bm25,10,1.500000,0.527046,1.600000,0.516398,1.600000,0.516398,0.400000,0.516398,1.600000,0.516398
vulnerability_summary,dense,10,1.900000,0.316228,1.900000,0.316228,1.700000,0.674949,0.100000,0.316228,1.900000,0.316228
affected_product,hybrid,10,1.600000,0.516398,1.800000,0.421637,1.800000,0.421637,0.200000,0.421637,1.700000,0.483046
attack_condition,dense,10,1.700000,0.674949,1.700000,0.674949,1.500000,0.849837,0.300000,0.674949,1.800000,0.632456
severity_reason,hybrid,10,1.800000,0.421637,1.800000,0.421637,1.800000,0.421637,0.200000,0.421637,1.800000,0.421637
affected_product,dense,10,1.800000,0.421637,2.000000,0.000000,1.100000,0.994429,0.000000,0.000000,1.800000,0.421637
mitigation,bm25,10,1.400000,0.699206,1.300000,0.823273,1.500000,0.527046,0.700000,0.823273,1.800000,0.421637
vulnerability_summary,bm25,10,1.700000,0.483046,1.700000,0.483046,1.700000,0.483046,0.300000,0.483046,2.000000,0.000000
affected_product,bm25,10,1.400000,0.699206,1.700000,0.674949,1.700000,0.483046,0.300000,0.674949,1.400000,0.699206
mitigation,dense,10,1.900000,0.316228,1.900000,0.316228,1.500000,0.849837,0.100000,0.316228,2.000000,0.000000
severity_reason,dense,10,1.600000,0.516398,1.600000,0.516398,1.200000,0.788811,0.400000,0.516398,1.900000,0.316228
severity_reason,hybrid_reranker,10,1.500000,0.707107,1.600000,0.699206,1.700000,0.483046,0.400000,0.699206,1.800000,0.421637
mitigation,hybrid,10,1.500000,0.849837,1.700000,0.674949,1.800000,0.421637,0.300000,0.674949,1.700000,0.674949
affected_product,hybrid_reranker,10,1.500000,0.707107,1.800000,0.632456,1.800000,0.421637,0.200000,0.632456,1.500000,0.707107
attack_condition,bm25,10,1.600000,0.699206,1.600000,0.699206,1.600000,0.699206,0.400000,0.699206,1.800000,0.632456
vulnerability_summary,hybrid_reranker,10,1.800000,0.421637,1.800000,0.421637,1.800000,0.421637,0.200000,0.421637,2.000000,0.000000
