Method,Gate,In-domain Coverage,False Reject Rate,Stress Correct Abstention Rate,Stress False Accept Rate,Decision Balanced Accuracy,Accepted Field Accuracy,Selective Risk,Accepted In-domain N,Stress N
bm25,ungated,1.000000,0.000000,0.000000,1.000000,0.500000,0.912000,0.088000,500,200
bm25,retrieval_id_gate,1.000000,0.000000,1.000000,0.000000,1.000000,0.912000,0.088000,500,200
bm25,citation_gate,0.922000,0.078000,1.000000,0.000000,0.961000,0.988792,0.011208,461,200
dense,ungated,1.000000,0.000000,0.000000,1.000000,0.500000,0.621667,0.378333,500,200
dense,retrieval_id_gate,0.636000,0.364000,1.000000,0.000000,0.818000,0.957547,0.042453,318,200
dense,citation_gate,0.612000,0.388000,1.000000,0.000000,0.806000,0.991830,0.008170,306,200
hybrid,ungated,1.000000,0.000000,0.000000,1.000000,0.500000,0.936333,0.063667,500,200
hybrid,retrieval_id_gate,1.000000,0.000000,1.000000,0.000000,1.000000,0.936333,0.063667,500,200
hybrid,citation_gate,0.942000,0.058000,1.000000,0.000000,0.971000,0.993277,0.006723,471,200
hybrid_reranker,ungated,1.000000,0.000000,0.000000,1.000000,0.500000,0.947333,0.052667,500,200
hybrid_reranker,retrieval_id_gate,1.000000,0.000000,1.000000,0.000000,1.000000,0.947333,0.052667,500,200
hybrid_reranker,citation_gate,0.956000,0.044000,1.000000,0.000000,0.978000,0.990934,0.009066,478,200
