Method,Question Type,Hit@1,Recall@5,Recall@10,MRR@10,nDCG@10
bm25,product_version_hard,0.770000,0.830000,0.860000,0.798667,0.813271
bm25,severity_scenario_hard,0.800000,0.960000,0.970000,0.860111,0.887217
bm25,attack_condition_hard,0.770000,0.830000,0.860000,0.798667,0.813271
bm25,attribute_only_hard,0.340000,0.370000,0.370000,0.350000,0.355000
dense,product_version_hard,0.860000,0.910000,0.920000,0.881667,0.891103
dense,severity_scenario_hard,0.730000,0.870000,0.880000,0.787095,0.810158
dense,attack_condition_hard,0.790000,0.890000,0.910000,0.833500,0.851990
dense,attribute_only_hard,0.410000,0.440000,0.460000,0.419861,0.429085
hybrid,product_version_hard,0.800000,0.910000,0.930000,0.843190,0.864386
hybrid,severity_scenario_hard,0.820000,0.960000,0.990000,0.874944,0.902798
hybrid,attack_condition_hard,0.790000,0.930000,0.950000,0.840917,0.867428
hybrid,attribute_only_hard,0.410000,0.440000,0.460000,0.419861,0.429085
hybrid_reranker,product_version_hard,0.900000,0.930000,0.930000,0.912500,0.916925
hybrid_reranker,severity_scenario_hard,0.750000,0.940000,0.980000,0.827790,0.864808
hybrid_reranker,attack_condition_hard,0.880000,0.950000,0.950000,0.910833,0.920853
hybrid_reranker,attribute_only_hard,0.070000,0.470000,0.580000,0.281750,0.354961
