Method,Question Type,Hit@1,Hit@5,Hit@10,Recall@5,Recall@10,MRR@10,nDCG@10
bm25,product_version_hard,0.829545,0.897727,0.931818,0.897727,0.931818,0.862121,0.878717
bm25,severity_scenario_hard,0.795918,0.959184,0.969388,0.959184,0.969388,0.857256,0.884915
bm25,attack_condition_hard,0.793478,0.858696,0.891304,0.858696,0.891304,0.824638,0.840512
bm25,attribute_only_hard,0.034483,0.068966,0.068966,0.015551,0.020622,0.045977,0.038779
dense,product_version_hard,0.909091,0.965909,0.977273,0.965909,0.977273,0.933712,0.944436
dense,severity_scenario_hard,0.724490,0.867347,0.877551,0.867347,0.877551,0.782750,0.805952
dense,attack_condition_hard,0.793478,0.891304,0.913043,0.880435,0.907609,0.838587,0.853770
dense,attribute_only_hard,0.068966,0.103448,0.172414,0.035883,0.106877,0.085728,0.068555
hybrid,product_version_hard,0.863636,0.965909,0.988636,0.962121,0.988636,0.905141,0.926619
hybrid,severity_scenario_hard,0.816327,0.959184,0.989796,0.959184,0.989796,0.872392,0.900815
hybrid,attack_condition_hard,0.815217,0.934783,0.956522,0.929348,0.951087,0.861141,0.883963
hybrid,attribute_only_hard,0.068966,0.103448,0.172414,0.035883,0.106877,0.085728,0.068555
hybrid_reranker,product_version_hard,0.954545,0.988636,0.988636,0.988636,0.988636,0.968750,0.973779
hybrid_reranker,severity_scenario_hard,0.744898,0.938776,0.979592,0.938776,0.979592,0.824275,0.861717
hybrid_reranker,attack_condition_hard,0.913043,0.956522,0.956522,0.951087,0.951087,0.930254,0.934080
hybrid_reranker,attribute_only_hard,0.034483,0.103448,0.206897,0.013716,0.072588,0.080172,0.056152
