Query Type,Method,Hit@1,Recall@5,MRR@10,Field Accuracy,Citation Accuracy
vulnerability_summary,bm25,1.000000,1.000000,1.000000,0.913333,0.920000
vulnerability_summary,dense,0.480000,0.700000,0.568611,0.678333,0.670000
vulnerability_summary,hybrid,1.000000,1.000000,1.000000,0.956667,0.970000
vulnerability_summary,hybrid_reranker,1.000000,1.000000,1.000000,0.951667,0.970000
affected_product,bm25,1.000000,1.000000,1.000000,0.963333,0.970000
affected_product,dense,0.370000,0.680000,0.487857,0.670000,0.670000
affected_product,hybrid,1.000000,1.000000,1.000000,0.941667,0.940000
affected_product,hybrid_reranker,0.990000,1.000000,0.995000,0.976667,0.980000
attack_condition,bm25,1.000000,1.000000,1.000000,0.973333,0.990000
attack_condition,dense,0.280000,0.480000,0.371496,0.510000,0.480000
attack_condition,hybrid,1.000000,1.000000,1.000000,0.996667,1.000000
attack_condition,hybrid_reranker,0.980000,1.000000,0.988333,0.991667,1.000000
severity_reason,bm25,1.000000,1.000000,1.000000,0.738333,0.750000
severity_reason,dense,0.370000,0.630000,0.479175,0.571667,0.560000
severity_reason,hybrid,0.990000,1.000000,0.995000,0.841667,0.840000
severity_reason,hybrid_reranker,1.000000,1.000000,1.000000,0.875000,0.880000
mitigation,bm25,1.000000,1.000000,1.000000,0.971667,0.980000
mitigation,dense,0.500000,0.690000,0.586385,0.678333,0.680000
mitigation,hybrid,1.000000,1.000000,1.000000,0.945000,0.960000
mitigation,hybrid_reranker,1.000000,1.000000,1.000000,0.941667,0.950000
